### ParaTranz ###
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_JD_10023_death;[offmap_china.Governor.GetTitledFirstName]都护派来的使节，[From.GetJobTitle][From.GetTitledName]，在[From.GetHerHis]访问期间去世。虽然这是一场悲剧，但也让我处于尴尬的境地，我得向[offmap_china.Governor.GetTitle]报告[From.GetJobTitle]的访问是怎样被取消的。;;;;;;;;;;;;x
EVTDESC_JD_10023_prison;[offmap_china.Governor.GetTitledFirstName]都护派来的使节，[From.GetTitledName]，在[From.GetHerHis]访问途中被人关起来了！这么一闹，[From.GetHerHis]访问自然取消了。我还要头疼该怎么和都护解释这件事。;;;;;;;;;;;;x
EVTDESC_JD_10023_missing;[offmap_china.Governor.GetTitledFirstName]都护派来的使节，[From.GetJobTitle][From.GetTitledName]，在[From.GetHerHis]访问途中失踪了！这么一来，[From.GetHerHis]访问自然取消了。我还要头疼该怎么和都护解释这件事。;;;;;;;;;;;;x
EVTOPTA_JD_10023;我得差遣我的书吏给[offmap_china.Governor.GetTitle]写封信。;;;;;;;;;;;;x
EVTOPTB_JD_10023;[offmap_china.Governor.GetTitle]最终会发现的。;;;;;;;;;;;;x
gender_is_culturally_or_religiously_eligble_tt;§Y[Root.GetTitledName]§!的性别在宗教和文化上都合适\n;;;;;;;;;;;;x
special_gender_laws_active_tt;特殊§Y法律§!或§Y游戏规则§!已启用\n;;;;;;;;;;;;x
no_special_gender_laws_active_tt;特殊§Y法律§!或§Y游戏规则§!未启用\n;;;;;;;;;;;;x
tribal_or_nomadic_government_tt;是§Y部落§!或§Y游牧§!政体\n;;;;;;;;;;;;x
has_liege_vassal_or_neighbor_of_norse_religion_tt;拥有一位信奉§Y日耳曼多神教§!信仰的§Y领主§!，§Y封臣§!或§Y相邻的统治者§!\n;;;;;;;;;;;;x
currency_name_warrior_lodge_norse;名望;;;;;;;;;;;;x
warrior_lodge_norse_rank_1_female;新手;;;;;;;;;;;;x
warrior_lodge_norse_rank_2_female;战士;;;;;;;;;;;;x
warrior_lodge_norse_rank_3_female;老兵;;;;;;;;;;;;x
warrior_lodge_norse_rank_4_female;女杰;;;;;;;;;;;;x
warrior_lodge_norse_rank_1_male;新手;;;;;;;;;;;;x
warrior_lodge_norse_rank_2_male;战士;;;;;;;;;;;;x
warrior_lodge_norse_rank_3_male;老兵;;;;;;;;;;;;x
warrior_lodge_norse_rank_4_male;英雄;;;;;;;;;;;;x
warrior_lodge_duel;决斗;;;;;;;;;;;;x
warrior_lodge_duel_power_desc;向你的敌人发起决斗的决议现在已可用。;;;;;;;;;;;;x
warrior_lodge_shieldmaiden;盾娘;;;;;;;;;;;;x
warrior_lodge_shieldmaiden_power_desc;任命某人为盾娘的决议现在可用，她必须是你的姐妹或者女儿。;;;;;;;;;;;;x
warrior_lodge_survivor;幸存者;;;;;;;;;;;;x
warrior_lodge_survivor_power_desc;你在战场上受的伤能够更快的恢复。;;;;;;;;;;;;x
warrior_lodge_lifetime_of_war;战争生涯;;;;;;;;;;;;x
warrior_lodge_lifetime_of_war_power_desc;当你率领部队时，你的经验让你能够遭遇战场上的新事件。;;;;;;;;;;;;x
warrior_lodge_norse_go_berserk;变成狂战士;;;;;;;;;;;;x
warrior_lodge_norse_go_berserk_power_desc;允许§G右键点击§!你的头像来赋予你自己§Y狂战士§!的特质。;;;;;;;;;;;;x
warrior_lodge_reaver;掠夺者;;;;;;;;;;;;x
warrior_lodge_reaver_power_desc;当你领兵围城时，你成功捕获敌人和掠得宝物的几率将会提升。;;;;;;;;;;;;x
warrior_lodge_warrior_training;战士训练;;;;;;;;;;;;x
warrior_lodge_warrior_training_desc;因为你是§Y战士工会§!的一员，现在你可以接受严苛的训练来获得战场上的新能力。;;;;;;;;;;;;x
